2,0,12,1,2,"."
2,1,12,2,2,".."
2,2,20,10,11,"lost+found"
2,3,12,2,12,"C1"
2,4,12,2,13,"C2"
2,5,12,2,14,"C3"
2,6,12,2,15,"C4"
2,7,12,2,16,"C5"
2,8,12,2,17,"C6"
2,9,12,2,18,"C7"
2,10,12,2,19,"C8"
2,11,12,2,20,"C9"
2,12,12,3,21,"C10"
2,13,12,3,22,"C11"
2,14,12,3,23,"C12"
2,15,12,3,24,"C13"
2,16,12,3,25,"C14"
2,17,12,3,26,"C15"
2,18,12,3,27,"C16"
2,19,12,3,28,"C17"
2,20,12,3,29,"C18"
2,21,12,3,30,"C19"
2,22,12,2,1713,"D1"
2,23,20,10,31,"large_file"
2,24,40,29,32," *#!_ 9-u
13@@7`~	~0a.2*&>?<,"
2,25,20,10,33,"spars_file"
2,26,24,15,1716,"large_directory"
2,27,12,3,13,"C20"
2,28,12,3,13,"C21"
2,29,12,3,13,"C22"
2,30,12,3,14,"C23"
2,31,12,3,14,"C24"
2,32,576,3,14,"C25"
11,0,12,1,11,"."
11,1,1012,2,2,".."
1713,0,12,1,1713,"."
1713,1,12,2,2,".."
1713,2,1000,2,1714,"D2"
1714,0,12,1,1713,"."
1714,1,12,2,1715,".."
1714,2,1000,2,1715,"D3"
1715,0,12,1,1715,"."
1715,1,1012,2,1714,".."
1716,0,12,1,1716,"."
1716,1,1012,2,2,".."
1716,8,16,7,1933,"file217"
1716,9,16,7,1872,"file156"
1716,10,16,7,1903,"file187"
1716,11,16,7,1888,"file172"
1716,12,64,7,1929,"file213"
1716,13,32,7,1883,"file167"
1716,14,96,7,1897,"file181"
1716,15,16,7,1884,"file168"
1716,16,48,7,1956,"file240"
1716,17,32,7,1935,"file219"
1716,18,48,7,1919,"file203"
1716,19,32,7,1902,"file186"
1716,20,16,7,1968,"file252"
1716,21,16,7,1896,"file180"
1716,22,32,7,1965,"file249"
1716,23,16,7,1870,"file154"
1716,24,16,7,1984,"file268"
1716,25,496,7,2014,"file298"
